"","Year","EWC-STAT code","EWC-STAT description","Hazardous/Non-hazardous split","Energy recovery","Incineration","Recovery other than energy recovery - Except backfilling","Recovery other than energy recovery - Backfilling","Deposit onto or into land","Land treatment and release into water bodies","Total waste sent to final treatment"
"1","2010","01.1","Spent solvents","Hazardous","0","0","8436.4869999999992","0","0","0","8436.4869999999992"
"2","2010","01.1","Spent solvents","Non-hazardous","z","z","z","z","z","z","z"
"3","2010","01.1","Spent solvents","Total","0","0","8436.4869999999992","0","0","0","8436.4869999999992"
"4","2010","01.2","Acid, alkaline or saline wastes","Hazardous","0","0","30.013999999999999","0","569.4","0","599.41399999999999"
"5","2010","01.2","Acid, alkaline or saline wastes","Non-hazardous","0","0","863.45500000000004","0","73192.47","0","74055.925000000003"
"6","2010","01.2","Acid, alkaline or saline wastes","Total","0","0","893.46900000000005","0","73761.87","0","74655.338999999993"
"7","2010","01.3","Used oils","Hazardous","0","0","1472.0309999999995","0","239.09897435897437","1517.6688968992646","3228.7988712582383"
"8","2010","01.3","Used oils","Non-hazardous","z","z","z","z","z","z","z"
"9","2010","01.3","Used oils","Total","0","0","1472.0309999999995","0","239.09897435897437","1517.6688968992646","3228.7988712582383"
"10","2010","01.4, 02, 03.1","Chemical wastes","Hazardous","0","5722","1999.105","0","2769.27","740","11230.375"
"11","2010","01.4, 02, 03.1","Chemical wastes","Non-hazardous","0","0","74431.596000000005","0","38713.370923076924","8","113152.96692307692"
"12","2010","01.4, 02, 03.1","Chemical wastes","Total","0","5722","76430.701000000001","0","41482.64092307692","748","124383.34192307692"
"13","2010","03.2","Industrial effluent sludges","Hazardous","0","127039","0","0","2615.0700000000002","1610.8200000000002","131264.89000000001"
"14","2010","03.2","Industrial effluent sludges","Non-hazardous","0","0","443.18718000000001","0","59610.425999999999","42.660000000000004","60096.273180000004"
"15","2010","03.2","Industrial effluent sludges","Total","0","127039","443.18718000000001","0","62225.495999999999","1653.4800000000002","191361.16318"
"16","2010","03.3","Sludges & liquid wastes from waste treatment","Hazardous","111552","1157","0","0","7715.6940000000004","0","120424.694"
"17","2010","03.3","Sludges & liquid wastes from waste treatment","Non-hazardous","0","0","0","0","325621.28399999999","0","325621.28399999999"
"18","2010","03.3","Sludges & liquid wastes from waste treatment","Total","111552","1157","0","0","333336.978","0","446045.978"
"19","2010","05","Health care & biological wastes","Hazardous","0","116701","0","0","0","2","116703"
"20","2010","05","Health care & biological wastes","Non-hazardous","0","3445","401.15499999999997","0","91081.54","0","94927.694999999992"
"21","2010","05","Health care & biological wastes","Total","0","120146","401.15499999999997","0","91081.54","2","211630.69500000001"
"22","2010","06.1","Metallic wastes, ferrous","Hazardous","z","z","z","z","z","z","z"
"23","2010","06.1","Metallic wastes, ferrous","Non-hazardous","0","0","8471005.9630000014","0","2007.08","0","8473013.0430000015"
"24","2010","06.1","Metallic wastes, ferrous","Total","0","0","8471005.9630000014","0","2007.08","0","8473013.0430000015"
"25","2010","06.2","Metallic wastes, non-ferrous","Hazardous","z","z","z","z","z","z","z"
"26","2010","06.2","Metallic wastes, non-ferrous","Non-hazardous","0","0","1807071.622","0","1184.6010000000001","0","1808256.223"
"27","2010","06.2","Metallic wastes, non-ferrous","Total","0","0","1807071.622","0","1184.6010000000001","0","1808256.223"
"28","2010","06.3","Metallic wastes, mixed","Hazardous","z","z","z","z","z","z","z"
"29","2010","06.3","Metallic wastes, mixed","Non-hazardous","0","0","4627014.0140000004","0","1358.2597179487179","4748","4633120.2737179492"
"30","2010","06.3","Metallic wastes, mixed","Total","0","0","4627014.0140000004","0","1358.2597179487179","4748","4633120.2737179492"
"31","2010","07.1","Glass wastes","Hazardous","0","0","0","0","561.52","0","561.52"
"32","2010","07.1","Glass wastes","Non-hazardous","0","0","1258655.0866190474","0","8261.84","0","1266916.9266190475"
"33","2010","07.1","Glass wastes","Total","0","0","1258655.0866190474","0","8823.36","0","1267478.4466190476"
"34","2010","07.2","Paper & cardboard wastes","Hazardous","z","z","z","z","z","z","z"
"35","2010","07.2","Paper & cardboard wastes","Non-hazardous","53","0","3309029.8501251573","0","1853.4117948717949","0","3310936.2619200293"
"36","2010","07.2","Paper & cardboard wastes","Total","53","0","3309029.8501251573","0","1853.4117948717949","0","3310936.2619200293"
"37","2010","07.3","Rubber wastes","Hazardous","z","z","z","z","z","z","z"
"38","2010","07.3","Rubber wastes","Non-hazardous","89619","0","43135.040999999997","0","5686.79","0","138440.83100000001"
"39","2010","07.3","Rubber wastes","Total","89619","0","43135.040999999997","0","5686.79","0","138440.83100000001"
"40","2010","07.4","Plastic wastes","Hazardous","z","z","z","z","z","z","z"
"41","2010","07.4","Plastic wastes","Non-hazardous","0","0","790289.50394117646","0","48908.758794871799","0","839198.26273604832"
"42","2010","07.4","Plastic wastes","Total","0","0","790289.50394117646","0","48908.758794871799","0","839198.26273604832"
"43","2010","07.5","Wood wastes","Hazardous","0","0","0","0","40.380000000000003","0","40.380000000000003"
"44","2010","07.5","Wood wastes","Non-hazardous","157295","0","2489410.2709999997","0","60891.24","0","2707596.5109999999"
"45","2010","07.5","Wood wastes","Total","157295","0","2489410.2709999997","0","60931.619999999995","0","2707636.8909999998"
"46","2010","07.6","Textile wastes","Hazardous","z","z","z","z","z","z","z"
"47","2010","07.6","Textile wastes","Non-hazardous","0","0","106542.28299999995","0","2243","0","108785.28299999995"
"48","2010","07.6","Textile wastes","Total","0","0","106542.28299999995","0","2243","0","108785.28299999995"
"49","2010","07.7","Waste containing PCB","Hazardous","0","0","0","0","5.52","0","5.52"
"50","2010","07.7","Waste containing PCB","Non-hazardous","z","z","z","z","z","z","z"
"51","2010","07.7","Waste containing PCB","Total","0","0","0","0","5.52","0","5.52"
"52","2010","08*","Discarded equipment","Hazardous","0","0","68518.887000000002","0","2092.66","0","70611.547000000006"
"53","2010","08*","Discarded equipment","Non-hazardous","0","0","154460.77499999999","0","4109.67","0","158570.44500000001"
"54","2010","08*","Discarded equipment","Total","0","0","222979.66200000001","0","6202.33","0","229181.992"
"55","2010","08.1","Discarded vehicles","Hazardous","0","0","0","0","0","0","0"
"56","2010","08.1","Discarded vehicles","Non-hazardous","0","0","315927.071","0","14.2","0","315941.27100000001"
"57","2010","08.1","Discarded vehicles","Total","0","0","315927.071","0","14.2","0","315941.27100000001"
"58","2010","08.41","Batteries & accumulators wastes","Hazardous","0","0","3496.6559999999999","0","13.32","0","3509.9760000000001"
"59","2010","08.41","Batteries & accumulators wastes","Non-hazardous","0","0","1422.4910000000002","0","79.477948717948721","0","1501.9689487179489"
"60","2010","08.41","Batteries & accumulators wastes","Total","0","0","4919.1469999999999","0","92.797948717948714","0","5011.944948717949"
"61","2010","09.1","Animal & mixed food waste","Hazardous","z","z","z","z","z","z","z"
"62","2010","09.1","Animal & mixed food waste","Non-hazardous","74496","446736.565","613449.30799999996","0","48047.826000000001","0","1182729.699"
"63","2010","09.1","Animal & mixed food waste","Total","74496","446736.565","613449.30799999996","0","48047.826000000001","0","1182729.699"
"64","2010","09.2","Vegetal wastes","Hazardous","z","z","z","z","z","z","z"
"65","2010","09.2","Vegetal wastes","Non-hazardous","0","45384","4247954.6330000004","0","139569.5","0","4432908.1330000004"
"66","2010","09.2","Vegetal wastes","Total","0","45384","4247954.6330000004","0","139569.5","0","4432908.1330000004"
"67","2010","09.3","Animal faeces, urine & manure","Hazardous","z","z","z","z","z","z","z"
"68","2010","09.3","Animal faeces, urine & manure","Non-hazardous","0","307524","3988.35","0","2499.88","1643.0400000000002","315655.26999999996"
"69","2010","09.3","Animal faeces, urine & manure","Total","0","307524","3988.35","0","2499.88","1643.0400000000002","315655.26999999996"
"70","2010","10.1","Household & similar wastes","Hazardous","z","z","z","z","z","z","z"
"71","2010","10.1","Household & similar wastes","Non-hazardous","0","4027762","704270.8","0","10707229.747","477.78442263480366","15439740.331422633"
"72","2010","10.1","Household & similar wastes","Total","0","4027762","704270.8","0","10707229.747","477.78442263480366","15439740.331422633"
"73","2010","10.2","Mixed & undifferentiated materials","Hazardous","0","4619","2012.09","0","273.334","361","7265.424"
"74","2010","10.2","Mixed & undifferentiated materials","Non-hazardous","0","144087.60499999998","279749.18200000003","0","362359.43984615389","2688","788884.22684615385"
"75","2010","10.2","Mixed & undifferentiated materials","Total","0","148706.60499999998","281761.27200000006","0","362632.77384615387","3049","796149.65084615396"
"76","2010","10.3","Sorting residues","Hazardous","0","0","87","0","52667.529000000002","0","52754.529000000002"
"77","2010","10.3","Sorting residues","Non-hazardous","204267","0","257202.8","0","9974489.0240000002","0","10435958.824000001"
"78","2010","10.3","Sorting residues","Total","204267","0","257289.8","0","10027156.552999999","0","10488713.353"
"79","2010","11","Common sludges","Hazardous","z","z","z","z","z","z","z"
"80","2010","11","Common sludges","Non-hazardous","0","182830","1014282.2536822407","18431.538020289834","33041.800000000003","0","1248585.5917025306"
"81","2010","11","Common sludges","Total","0","182830","1014282.2536822407","18431.538020289834","33041.800000000003","0","1248585.5917025306"
"82","2010","12.1","Mineral waste from construction & demolition","Hazardous","0","0","68335.052951012607","0","18421.62","0","86756.672951012602"
"83","2010","12.1","Mineral waste from construction & demolition","Non-hazardous","0","0","46041073.513999999","620493.18911165977","1803251.09","0","48464817.79311166"
"84","2010","12.1","Mineral waste from construction & demolition","Total","0","0","46109408.566951014","620493.18911165977","1821672.7100000002","0","48551574.466062672"
"85","2010","12.2, 12.3, 12.5","Other mineral wastes","Hazardous","0","0","230.27099999999999","0","226824.397","138","227192.66800000001"
"86","2010","12.2, 12.3, 12.5","Other mineral wastes","Non-hazardous","0","0","66464.409","86776.816999999995","525013.99300000002","12612044","13290299.219000001"
"87","2010","12.2, 12.3, 12.5","Other mineral wastes","Total","0","0","66694.679999999993","86776.816999999995","751838.39","12612182","13517491.887"
"88","2010","12.4","Combustion wastes","Hazardous","0","0","10191.521000000001","0","18090.900000000001","0","28282.421000000002"
"89","2010","12.4","Combustion wastes","Non-hazardous","0","0","8375.7729999999992","0","2199105.8319999999","0","2207481.605"
"90","2010","12.4","Combustion wastes","Total","0","0","18567.294000000002","0","2217196.7319999998","0","2235764.0260000001"
"91","2010","12.6","Soils","Hazardous","0","0","36903.685236549361","0","148153.07","0","185056.75523654936"
"92","2010","12.6","Soils","Non-hazardous","0","0","9819431.4221176486","9919894.4940659106","14755931.891000001","0","34495257.807183564"
"93","2010","12.6","Soils","Total","0","0","9856335.1073541977","9919894.4940659106","14904084.961000001","0","34680314.562420107"
"94","2010","12.7","Dredging spoils","Hazardous","0","0","316.78429319371725","0","14658.87","0","14975.654293193718"
"95","2010","12.7","Dredging spoils","Non-hazardous","0","0","571.21308900523559","0","335460.47100000002","11095337.729482433","11431369.413571438"
"96","2010","12.7","Dredging spoils","Total","0","0","887.99738219895289","0","350119.34100000001","11095337.729482433","11446345.067864632"
"97","2010","12.8, 13","Mineral waste from waste treatment & stabilised waste","Hazardous","0","0","11.46","0","122533.34999999999","0","122544.81"
"98","2010","12.8, 13","Mineral waste from waste treatment & stabilised waste","Non-hazardous","6929","0","5544.0339999999997","325.113","1336778.648","0","1349576.7950000002"
"99","2010","12.8, 13","Mineral waste from waste treatment & stabilised waste","Total","6929","0","5555.4939999999997","325.113","1459311.9980000001","0","1472121.6050000002"
"100","2010","Total","*Total waste treated","Hazardous","111552","255238","202041.04448075569","0","618245.00297435897","4369.4888968992655","1191445.5363520139"
"101","2010","Total","*Total waste treated","Non-hazardous","532659","5157769.17","86512461.056754261","10645921.15119786","42947596.562025644","23716989.213905066","169513396.15388283"
"102","2010","Total","*Total waste treated","Total","644211","5413007.1699999999","86714502.101235017","10645921.15119786","43565841.565000005","23721358.702801965","170704841.69023487"
"103","2012","01.1","Spent solvents","Hazardous","0","0","31.32","0","11.58","0","42.9"
"104","2012","01.1","Spent solvents","Non-hazardous","z","z","z","z","z","z","z"
"105","2012","01.1","Spent solvents","Total","0","0","31.32","0","11.58","0","42.9"
"106","2012","01.2","Acid, alkaline or saline wastes","Hazardous","0","0","215.99900000000002","0","1220.9839999999999","0","1436.9829999999999"
"107","2012","01.2","Acid, alkaline or saline wastes","Non-hazardous","0","0","728.37199999999996","0","75310.240000000005","0","76038.612000000008"
"108","2012","01.2","Acid, alkaline or saline wastes","Total","0","0","944.37099999999998","0","76531.224000000002","0","77475.595000000001"
"109","2012","01.3","Used oils","Hazardous","101054","1285","2531.0169999999998","0","402.56","0","105272.57699999999"
"110","2012","01.3","Used oils","Non-hazardous","z","z","z","z","z","z","z"
"111","2012","01.3","Used oils","Total","101054","1285","2531.0169999999998","0","402.56","0","105272.57699999999"
"112","2012","01.4, 02, 03.1","Chemical wastes","Hazardous","0","128680","9917.9269999999997","0","3982.252","0","142580.179"
"113","2012","01.4, 02, 03.1","Chemical wastes","Non-hazardous","0","0","104181.984","0","24047.879000000008","0","128229.86300000001"
"114","2012","01.4, 02, 03.1","Chemical wastes","Total","0","128680","114099.91099999999","0","28030.131000000008","0","270810.04200000002"
"115","2012","03.2","Industrial effluent sludges","Hazardous","0","0","14.39748","0","1103.3058600000002","0","1117.7033400000003"
"116","2012","03.2","Industrial effluent sludges","Non-hazardous","0","0","7194.7491300000011","190.55520000000001","11838.150809999999","0","19223.455139999998"
"117","2012","03.2","Industrial effluent sludges","Total","0","0","7209.1466100000007","190.55520000000001","12941.45667","0","20341.158479999998"
"118","2012","03.3","Sludges & liquid wastes from waste treatment","Hazardous","0","0","8.3700000000000011E-2","0","3646.2420000000002","0","3646.3257000000003"
"119","2012","03.3","Sludges & liquid wastes from waste treatment","Non-hazardous","0","0","373.61520000000002","67.753799999999998","87566.451300000001","0","88007.820300000007"
"120","2012","03.3","Sludges & liquid wastes from waste treatment","Total","0","0","373.69890000000004","67.753799999999998","91212.693299999999","0","91654.145999999993"
"121","2012","05","Health care & biological wastes","Hazardous","0","106892","8.44","0","0","0","106900.44"
"122","2012","05","Health care & biological wastes","Non-hazardous","0","0","111.35","0","104827.69500000001","0","104939.04500000001"
"123","2012","05","Health care & biological wastes","Total","0","106892","119.78999999999999","0","104827.69500000001","0","211839.48499999999"
"124","2012","06.1","Metallic wastes, ferrous","Hazardous","z","z","z","z","z","z","z"
"125","2012","06.1","Metallic wastes, ferrous","Non-hazardous","0","0","8555183.762000002","229660.92","1800.7260000000001","0","8786645.4080000017"
"126","2012","06.1","Metallic wastes, ferrous","Total","0","0","8555183.762000002","229660.92","1800.7260000000001","0","8786645.4080000017"
"127","2012","06.2","Metallic wastes, non-ferrous","Hazardous","z","z","z","z","z","z","z"
"128","2012","06.2","Metallic wastes, non-ferrous","Non-hazardous","0","5140","1511666.5899999999","2823.33","1580.81","0","1521210.73"
"129","2012","06.2","Metallic wastes, non-ferrous","Total","0","5140","1511666.5899999999","2823.33","1580.81","0","1521210.73"
"130","2012","06.3","Metallic wastes, mixed","Hazardous","z","z","z","z","z","z","z"
"131","2012","06.3","Metallic wastes, mixed","Non-hazardous","0","0","3885315.5700000003","0","338.42599999999999","0","3885653.9960000003"
"132","2012","06.3","Metallic wastes, mixed","Total","0","0","3885315.5700000003","0","338.42599999999999","0","3885653.9960000003"
"133","2012","07.1","Glass wastes","Hazardous","0","0","0","0","4020.54","0","4020.54"
"134","2012","07.1","Glass wastes","Non-hazardous","0","0","1284459.5864883719","210.9","36182.512999999999","0","1320852.9994883719"
"135","2012","07.1","Glass wastes","Total","0","0","1284459.5864883719","210.9","40203.053","0","1324873.5394883719"
"136","2012","07.2","Paper & cardboard wastes","Hazardous","z","z","z","z","z","z","z"
"137","2012","07.2","Paper & cardboard wastes","Non-hazardous","0","0","4248169.3450000007","0","4104.4160000000002","0","4252273.7610000009"
"138","2012","07.2","Paper & cardboard wastes","Total","0","0","4248169.3450000007","0","4104.4160000000002","0","4252273.7610000009"
"139","2012","07.3","Rubber wastes","Hazardous","z","z","z","z","z","z","z"
"140","2012","07.3","Rubber wastes","Non-hazardous","118604","0","20831.021999999997","0","1837.9","0","141272.92199999999"
"141","2012","07.3","Rubber wastes","Total","118604","0","20831.021999999997","0","1837.9","0","141272.92199999999"
"142","2012","07.4","Plastic wastes","Hazardous","z","z","z","z","z","z","z"
"143","2012","07.4","Plastic wastes","Non-hazardous","0","0","366880.85047826089","220","115847.954","0","482948.80447826092"
"144","2012","07.4","Plastic wastes","Total","0","0","366880.85047826089","220","115847.954","0","482948.80447826092"
"145","2012","07.5","Wood wastes","Hazardous","0","0","0","0","22.92","0","22.92"
"146","2012","07.5","Wood wastes","Non-hazardous","202155","0","2155236.4740000004","62166.799999999996","19800.094000000001","0","2439358.3680000002"
"147","2012","07.5","Wood wastes","Total","202155","0","2155236.4740000004","62166.799999999996","19823.013999999999","0","2439381.2880000002"
"148","2012","07.6","Textile wastes","Hazardous","z","z","z","z","z","z","z"
"149","2012","07.6","Textile wastes","Non-hazardous","0","0","391932.74900000001","0","3659.7750000000001","0","395592.52400000003"
"150","2012","07.6","Textile wastes","Total","0","0","391932.74900000001","0","3659.7750000000001","0","395592.52400000003"
"151","2012","07.7","Waste containing PCB","Hazardous","0","0","5296.9010000000007","0","0","0","5296.9010000000007"
"152","2012","07.7","Waste containing PCB","Non-hazardous","z","z","z","z","z","z","z"
"153","2012","07.7","Waste containing PCB","Total","0","0","5296.9010000000007","0","0","0","5296.9010000000007"
"154","2012","08*","Discarded equipment","Hazardous","0","0","56450.41","0","491.995","0","56942.405000000006"
"155","2012","08*","Discarded equipment","Non-hazardous","0","0","226628.4","0","60.06","0","226688.46"
"156","2012","08*","Discarded equipment","Total","0","0","283078.81","0","552.05500000000006","0","283630.86499999999"
"157","2012","08.1","Discarded vehicles","Hazardous","0","0","0","0","0","0","0"
"158","2012","08.1","Discarded vehicles","Non-hazardous","0","0","0","0","0","0","0"
"159","2012","08.1","Discarded vehicles","Total","0","0","0","0","0","0","0"
"160","2012","08.41","Batteries & accumulators wastes","Hazardous","0","0","77795.46100000001","0","14.24","0","77809.701000000015"
"161","2012","08.41","Batteries & accumulators wastes","Non-hazardous","0","0","923","0","0","0","923"
"162","2012","08.41","Batteries & accumulators wastes","Total","0","0","78718.46100000001","0","14.24","0","78732.701000000015"
"163","2012","09.1","Animal & mixed food waste","Hazardous","z","z","z","z","z","z","z"
"164","2012","09.1","Animal & mixed food waste","Non-hazardous","121445","253006","721302.25800000003","0","89510.587","0","1185263.845"
"165","2012","09.1","Animal & mixed food waste","Total","121445","253006","721302.25800000003","0","89510.587","0","1185263.845"
"166","2012","09.2","Vegetal wastes","Hazardous","z","z","z","z","z","z","z"
"167","2012","09.2","Vegetal wastes","Non-hazardous","43114","0","3420307.3259999994","1014.54","99813.123999999996","0","3564248.9899999993"
"168","2012","09.2","Vegetal wastes","Total","43114","0","3420307.3259999994","1014.54","99813.123999999996","0","3564248.9899999993"
"169","2012","09.3","Animal faeces, urine & manure","Hazardous","z","z","z","z","z","z","z"
"170","2012","09.3","Animal faeces, urine & manure","Non-hazardous","293020","0","12564.78","175.22","2668.96","0","308428.96000000002"
"171","2012","09.3","Animal faeces, urine & manure","Total","293020","0","12564.78","175.22","2668.96","0","308428.96000000002"
"172","2012","10.1","Household & similar wastes","Hazardous","z","z","z","z","z","z","z"
"173","2012","10.1","Household & similar wastes","Non-hazardous","0","5131633","377591.56700000004","5686.3","8049620.318","0","13564531.184999999"
"174","2012","10.1","Household & similar wastes","Total","0","5131633","377591.56700000004","5686.3","8049620.318","0","13564531.184999999"
"175","2012","10.2","Mixed & undifferentiated materials","Hazardous","0","0","507.30500000000006","0","1254.5","0","1761.8050000000001"
"176","2012","10.2","Mixed & undifferentiated materials","Non-hazardous","64645","0","142694.15299999999","0","316732.40899999999","0","524071.56199999998"
"177","2012","10.2","Mixed & undifferentiated materials","Total","64645","0","143201.45799999998","0","317986.90899999999","0","525833.36699999997"
"178","2012","10.3","Sorting residues","Hazardous","0","0","2.895","0","74214.315000000002","0","74217.210000000006"
"179","2012","10.3","Sorting residues","Non-hazardous","274854","0","494778.36800000002","49583.47","8196130.0700000003","0","9015345.9079999998"
"180","2012","10.3","Sorting residues","Total","274854","0","494781.26300000004","49583.47","8270344.3850000007","0","9089563.1180000007"
"181","2012","11","Common sludges","Hazardous","z","z","z","z","z","z","z"
"182","2012","11","Common sludges","Non-hazardous","29582","161204","751207.03788449045","3140.73","1790.326","0","946924.09388449043"
"183","2012","11","Common sludges","Total","29582","161204","751207.03788449045","3140.73","1790.326","0","946924.09388449043"
"184","2012","12.1","Mineral waste from construction & demolition","Hazardous","0","0","0","0","78185.03","0","78185.03"
"185","2012","12.1","Mineral waste from construction & demolition","Non-hazardous","0","0","43398523.798","658030.25","1881115.2919999999","0","45937669.340000004"
"186","2012","12.1","Mineral waste from construction & demolition","Total","0","0","43398523.798","658030.25","1959300.3219999999","0","46015854.369999997"
"187","2012","12.2, 12.3, 12.5","Other mineral wastes","Hazardous","0","0","759.18100000000004","9241.94","214644.32900000006","0","224645.45000000007"
"188","2012","12.2, 12.3, 12.5","Other mineral wastes","Non-hazardous","0","0","11167.880000000001","141228.09999999998","541184.16199999978","11751923.5","12445503.641999999"
"189","2012","12.2, 12.3, 12.5","Other mineral wastes","Total","0","0","11927.061000000002","150470.03999999998","755828.49099999981","11751923.5","12670149.092"
"190","2012","12.4","Combustion wastes","Hazardous","0","0","3329.0770000000002","0","11589.33","0","14918.406999999999"
"191","2012","12.4","Combustion wastes","Non-hazardous","0","0","6803.5750000000007","371806.95500000002","3227790.0440000002","0","3606400.574"
"192","2012","12.4","Combustion wastes","Total","0","0","10132.652000000002","371806.95500000002","3239379.3740000003","0","3621318.9810000001"
"193","2012","12.6","Soils","Hazardous","0","0","133098.33866659444","0","316932.4279999999","0","450030.76666659431"
"194","2012","12.6","Soils","Non-hazardous","0","0","9193463.1993823536","10457623.874999998","16051977.626000004","0","35703064.700382352"
"195","2012","12.6","Soils","Total","0","0","9326561.5380489472","10457623.874999998","16368910.054000003","0","36153095.46704895"
"196","2012","12.7","Dredging spoils","Hazardous","0","0","79.637172774869114","3562.303664921466","180.73298429319371","0","3822.6738219895287"
"197","2012","12.7","Dredging spoils","Non-hazardous","0","0","1397.8743455497383","806.64921465968587","188989.23036649215","10941168.871727748","11132362.62565445"
"198","2012","12.7","Dredging spoils","Total","0","0","1477.5115183246076","4368.952879581152","189169.96335078534","10941168.871727748","11136185.299476439"
"199","2012","12.8, 13","Mineral waste from waste treatment & stabilised waste","Hazardous","0","0","400.74","0","179152.61399999997","0","179553.35399999996"
"200","2012","12.8, 13","Mineral waste from waste treatment & stabilised waste","Non-hazardous","0","0","10749.96","25327.5","1306715.0540000002","0","1342792.5140000002"
"201","2012","12.8, 13","Mineral waste from waste treatment & stabilised waste","Total","0","0","11150.699999999999","25327.5","1485867.6680000003","0","1522345.8680000002"
"202","2012","Total","*Total waste treated","Hazardous","101054","236857","290439.1300193693","12804.243664921467","891069.89784429304","0","1532224.271528584"
"203","2012","Total","*Total waste treated","Non-hazardous","1147419","5550983","81302369.195909023","12009763.848214656","40442840.29247649","22693092.37172775","163146467.70832795"
